Director,PA,BB,AB,OUTS,H,1B,2B,3B,HR,BA,OBP,SLG,OPS,WAR,WAR/PA,Scaled WAR,Scaled WAR/PA,Average Composite Score,Bucket,Composite Score+,Standard Deviation,Coefficient of Variation,Adjusted StDev,Best 2 Film Run Score,Best 2 Film Run Titles,Best 3 Film Run Score,Best 3 Film Run Titles,Best 5 Film Run Score,Best 5 Film Run Titles,Best Top 2 Overall Score,Out Rate,BB Rate,1B Rate,2B Rate,3B Rate,HR Rate,XBH,XBH Rate,Eligible,Career_Value,Rate_Quality,Peak,Profile,Strength
Chris Columbus,17,3,14,10,4,4,0,0,0,0.286,0.412,0.286,0.697,-88.9,-5.23,-8.96,-0.53,49.77,OUT,88.8,17.7,0.3558,17.3,74.7,Harry Potter and the Sorcerer's Stone → Harry Potter and the Chamber of Secrets,68.2,Harry Potter and the Sorcerer's Stone → Harry Potter and the Chamber of Secrets → Rent,63.1,Stepmom → Bicentennial Man → Harry Potter and the Sorcerer's Stone → Harry Potter and the Chamber of Secrets → Rent,76.8,0.5882352941176471,0.17647058823529413,0.23529411764705882,0.0,0.0,0.0,0,0.0,True,-1.1282755348182576,-0.6433154872927472,-0.2867211008169609,-0.7501815668965082,-0.721028120852206
Chris Renaud,6,0,6,4,2,2,0,0,0,0.333,0.333,0.333,0.667,-3.5,-0.58,-0.35,-0.06,54.42,OUT,103.2,12.5,0.2303,14.0,60.9,Despicable Me → The Lorax,62.4,Despicable Me → The Lorax → Despicable Me 2,56.4,Despicable Me → The Lorax → Despicable Me 2 → The Secret Life of Pets → The Secret Life of Pets 2,74.6,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0,0.0,True,-0.44833620360308796,-0.30334452516816496,-0.6966028691722128,-0.7293036506338814,-0.5303484397927971
Christopher McQuarrie,6,0,6,2,4,2,2,0,0,0.667,0.667,1.0,1.667,87.6,14.6,8.83,1.47,69.6,1B,131.3,15.6,0.22399999999999998,15.7,84.4,Mission: Impossible - Fallout → Mission: Impossible - Dead Reckoning,82.5,Mission: Impossible - Rogue Nation → Mission: Impossible - Fallout → Mission: Impossible - Dead Reckoning,73.7,Jack Reacher → Mission: Impossible - Rogue Nation → Mission: Impossible - Fallout → Mission: Impossible - Dead Reckoning → Mission: Impossible - The Final Reckoning,87.2,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,2,0.3333333333333333,True,0.5604078728031235,0.8064961640901487,0.5854702622527966,0.41276010845312183,0.5986659901172978
Christopher Nolan,12,0,12,0,12,3,5,3,1,1.0,1.0,2.167,3.167,348.7,29.06,35.16,2.93,84.06,2B,156.0,9.3,0.111,11.2,92.5,The Dark Knight → Inception,90.6,The Prestige → The Dark Knight → Inception,89.3,The Prestige → The Dark Knight → Inception → The Dark Knight Rises → Interstellar,95.2,0.0,0.0,0.25,0.4166666666666667,0.25,0.08333333333333333,9,0.75,True,1.3978493041596098,1.863696188245301,1.4190574684459984,1.9633953598875586,1.6327222773982195
Clarence Brown,36,13,23,15,8,7,1,0,0,0.348,0.583,0.391,0.975,28.1,0.78,2.83,0.08,55.78,BB,95.1,12.1,0.21710000000000002,12.6,70.1,The Eagle → Flesh and the Devil,67.5,Flesh and the Devil → Kiki → A Woman of Affairs,66.8,National Velvet → The White Cliffs of Dover → The Yearling → Song of Love → Intruder in the Dust,81.6,0.4166666666666667,0.3611111111111111,0.19444444444444445,0.027777777777777776,0.0,0.0,1,0.027777777777777776,True,0.1954082235004121,-0.20391215775108282,-0.13052061261861417,-0.46252253154754186,-0.117490231851809
Clint Eastwood,40,5,35,16,19,12,6,1,0,0.543,0.6,0.771,1.371,280.1,7.0,28.24,0.71,62.0,BB,109.8,16.3,0.2626,16.2,87.1,Mystic River → Million Dollar Baby,83.3,Unforgiven → A Perfect World → The Bridges of Madison County,79.9,Mystic River → Million Dollar Baby → Flags of Our Fathers → Letters from Iwo Jima → Changeling,91.4,0.4,0.125,0.3,0.15,0.025,0.0,7,0.175,True,1.223610742656984,0.2508446991123368,0.859679688471247,0.0504020673552715,0.6547947331640455
Coen Brothers,19,3,16,2,14,6,6,2,0,0.875,0.895,1.5,2.395,359.1,18.9,36.21,1.91,73.9,1B,133.4,13.4,0.1814,13.9,88.4,Fargo → The Big Lebowski,85.2,"Fargo → The Big Lebowski → O Brother, Where Art Thou?",80.6,Miller's Crossing → Barton Fink → The Hudsucker Proxy → Fargo → The Big Lebowski,92.5,0.10526315789473684,0.15789473684210525,0.3157894736842105,0.3157894736842105,0.10526315789473684,0.0,8,0.42105263157894735,True,1.422730793192505,1.120877914011805,0.9490708506761251,1.2101896230999114,1.1863443537497163
Colin Trevorrow,4,1,3,2,1,1,0,0,0,0.333,0.5,0.333,0.833,-34.8,-8.7,-3.51,-0.88,46.3,OUT,87.0,19.1,0.41159999999999997,17.3,62.4,Safety Not Guranteed → Jurassic World,52.2,Safety Not Guranteed → Jurassic World → The Book of Henry,,,67.5,0.5,0.25,0.25,0.0,0.0,0.0,0,0.0,True,-0.8112465955095817,-0.8970142482760376,-1.293209249172357,-0.5933368625045983,-0.9095972255158927
Coralie Fargeat,2,1,1,0,1,1,0,0,0,1.0,1.0,1.0,2.0,26.7,13.35,2.69,1.35,68.35,1B,129.5,7.1,0.1045,13.3,68.4,Revenge → The Substance,,,,,73.4,0.0,0.5,0.5,0.0,0.0,0.0,0,0.0,True,0.1834786040390437,0.7151061205082717,-0.6652539625319435,1.0075324577979599,0.26901311226538716
Craig Gillespie,8,2,6,3,3,2,1,0,0,0.5,0.625,0.667,1.292,23.8,2.98,2.4,0.3,57.98,BB,108.8,18.5,0.3184,17.4,74.1,"I, Tonya → Cruella",69.7,"I, Tonya → Cruella → Dumb Money",63.5,"Million Dollar Arm → The Finest Hours → I, Tonya → Cruella → Dumb Money",80.6,0.375,0.25,0.25,0.125,0.0,0.0,1,0.125,True,0.15773622345019553,-0.04306568104697942,-0.18797975536302425,-0.05588714147495572,-0.0216179203624334
