Rank,Director,Eligible,Strength,Expected Wins,Expected Win %,PA,WAR,Scaled WAR,WAR/PA,Scaled WAR/PA,BA,OBP,SLG,OPS,HR,3B,2B,1B,BB,OUTS,Out Rate,BB Rate,HR Rate,XBH,XBH Rate,Best Top 2 Overall Score,Best 2 Film Run Score,Best 2 Film Run Titles,Best 3 Film Run Score,Best 3 Film Run Titles,Best 5 Film Run Score,Best 5 Film Run Titles,Career_Value,Rate_Quality,Peak,Profile
25,Kenji Mizoguchi,True,1.218252,259.756344,0.737944,27,431.2,43.48,15.97,1.61,0.826,0.852,1.304,2.156,1,3,2,13,4,4,0.148148,0.148148,0.037037,6,0.222222,95.7,91.8,The Life of Oharu → Ugetsu,89.2,Ugetsu → A Geisha → Sansho the Bailiff,86.4,The Life of Oharu → Ugetsu → A Geisha → Sansho the Bailiff → The Woman in the Rumor,1.58593,0.90666,1.289595,0.967046
26,Robert Bresson,True,1.206256,259.029532,0.735879,13,271.4,27.36,20.88,2.1,1.0,1.0,1.417,2.417,0,1,3,8,1,0,0.0,0.076923,0.0,4,0.307692,93.9,89.1,Diary of a Country Priest → A Man Escaped,85.3,Diary of a Country Priest → A Man Escaped → Pickpocket,82.8,Diary of a Country Priest → A Man Escaped → Pickpocket → The Trial of Joan of Arc → Au hasard Balthazar,1.199985,1.26564,1.040131,1.349088
27,Damien Chazelle,True,1.197896,258.5212,0.734435,5,104.7,10.56,20.94,2.11,1.0,1.0,2.667,3.667,1,1,0,1,2,0,0.0,0.4,0.2,2,0.4,94.7,92.4,Whiplash → La La Land,86.5,Whiplash → La La Land → First Man,75.9,Guy and Madeline on a Park Bench → Whiplash → La La Land → First Man → Babylon,0.639135,1.270026,0.85625,2.372934
28,Brad Bird,True,1.192131,258.169705,0.733437,6,140.1,14.13,23.35,2.35,0.833,0.833,1.833,2.667,0,3,0,2,0,1,0.166667,0.0,0.0,3,0.5,93.2,91.5,The Incredibles → Ratatouille,91.6,The Iron Giant → The Incredibles → Ratatouille,,,0.783341,1.446226,1.268396,1.392363
29,Coen Brothers,True,1.186344,257.816225,0.732432,19,359.1,36.21,18.9,1.91,0.875,0.895,1.5,2.395,0,2,6,6,3,2,0.105263,0.157895,0.0,8,0.421053,92.5,88.4,Fargo → The Big Lebowski,85.2,"Fargo → The Big Lebowski → O Brother, Where Art Thou?",80.6,Miller's Crossing → Barton Fink → The Hudsucker Proxy → Fargo → The Big Lebowski,1.422731,1.120878,0.949071,1.21019
30,Alfonso Cuaron,True,1.169511,256.783737,0.729499,8,176.3,17.78,22.04,2.22,0.857,0.875,1.714,2.589,0,0,6,0,1,1,0.125,0.125,0.0,6,0.75,88.9,88.0,Harry Potter and the Prisoner of Azkaban → Children of Men,87.6,Y Tu Mama Tambien → Harry Potter and the Prisoner of Azkaban → Children of Men,85.9,Y Tu Mama Tambien → Harry Potter and the Prisoner of Azkaban → Children of Men → Gravity → Roma,0.912903,1.35045,1.150762,1.351684
31,Peter Jackson,True,1.166899,256.623033,0.729043,13,217.7,21.95,16.75,1.69,0.8,0.846,1.7,2.546,3,0,0,5,3,2,0.153846,0.230769,0.230769,3,0.230769,96.2,95.7,Lord of the Rings: The Two Towers → Lord of the Rings: The Return of the King,95.7,Lord of the Rings: The Fellowship of the Ring → Lord of the Rings: The Two Towers → Lord of the Rings: The Return of the King,85.2,Heavenly Creatures → The Frighteners → Lord of the Rings: The Fellowship of the Ring → Lord of the Rings: The Two Towers → Lord of the Rings: The Return of the King,1.045523,0.963687,1.440207,1.261343
32,Ingmar Bergman,True,1.153832,255.816628,0.726752,52,607.1,61.21,11.68,1.18,0.651,0.712,1.279,1.991,1,8,8,11,9,15,0.288462,0.173077,0.019231,17,0.326923,95.7,91.9,Cries & Whispers → Scenes from a Marriage,89.9,Smiles of a Summer Night → The Seventh Seal → Wild Strawberries,82.2,The Virgin Spring → Through a Glass Darkly → A Dream Play → The Silence → Winter Light,1.934078,0.593009,1.17129,0.662669
33,Celine Sciamma,True,1.153624,255.80378,0.726715,5,117.8,11.88,23.56,2.38,1.0,1.0,2.0,3.0,1,0,1,2,1,0,0.0,0.2,0.2,2,0.4,94.0,89.5,Portrait of a Lady on Fire → Petite Maman,83.7,Girlhood → Portrait of a Lady on Fire → Petite Maman,78.6,Water Lilies → Tomboy → Girlhood → Portrait of a Lady on Fire → Petite Maman,0.694941,1.46158,0.8577,1.826609
34,Alfred Hitchcock ,True,1.131077,254.403724,0.722738,53,532.6,53.7,10.05,1.01,0.612,0.642,1.122,1.764,4,3,7,16,4,19,0.358491,0.075472,0.075472,14,0.264151,97.7,95.6,North by Northwest → Pyscho,95.2,Vertigo → North by Northwest → Pyscho,,,1.793756,0.473836,1.546745,0.439024
35,David Fincher,True,1.128228,254.226086,0.722233,12,235.7,23.76,19.64,1.98,0.889,0.917,1.556,2.472,0,0,6,2,3,1,0.083333,0.25,0.0,6,0.5,88.6,84.7,The Social Network → The Girl with the Dragon Tattoo,85.4,The Social Network → The Girl with the Dragon Tattoo → Gone Girl,83.0,Zodiac → The Curious Case of Benjamin Button → The Social Network → The Girl with the Dragon Tattoo → Gone Girl,1.099127,1.174981,0.989543,1.286797
36,Hirokazu Kore-eda,True,1.107248,252.912509,0.718501,16,285.5,28.79,17.84,1.8,0.833,0.875,1.667,2.542,0,3,4,3,4,2,0.125,0.25,0.0,7,0.4375,93.0,85.1,"Like Father, Like Son → Our Little Sister",82.6,"I Wish → Like Father, Like Son → Our Little Sister",80.2,"Still Walking → Air Doll → I Wish → Like Father, Like Son → Our Little Sister",1.23819,1.043379,0.867802,1.289979
37,Elem Klimov,True,1.096631,252.244313,0.716603,5,104.7,10.56,20.94,2.11,1.0,1.0,2.333,3.333,1,0,1,1,2,0,0.0,0.4,0.2,2,0.4,97.3,88.4,Farewell → Come and See,78.9,Rasputin → Farewell → Come and See,75.9,"Welcome, or No Trespassing → Pokhozhdeniya zubnogo vracha → Rasputin → Farewell → Come and See",0.639135,1.270026,0.670048,2.099362
38,Alejandro G. Inarritu,True,1.09531,252.160997,0.716366,7,153.9,15.52,21.99,2.22,1.0,1.0,1.667,2.667,0,1,2,3,1,0,0.0,0.142857,0.0,3,0.428571,90.8,83.9,Amores Perros → 21 Grams,81.2,Biutiful → Birdman or (The Unexpected Virtue of Ignorance) → The Revenant,79.8,Amores Perros → 21 Grams → Babel → Biutiful → Birdman or (The Unexpected Virtue of Ignorance),0.834457,1.346794,0.790013,1.553857
39,Asghar Farhadi,True,1.073809,250.800091,0.7125,9,177.0,17.85,19.67,1.98,0.875,0.889,1.375,2.264,1,0,1,5,1,1,0.111111,0.111111,0.111111,2,0.222222,95.7,91.5,About Elly → A Separation,87.2,About Elly → A Separation → The Past,83.5,Fireworks Wednesday → About Elly → A Separation → The Past → The Salesman,0.915251,1.177174,1.137448,1.102891
40,Martin McDonagh,True,1.071864,250.676538,0.712149,4,103.9,10.48,25.98,2.62,1.0,1.0,1.75,2.75,0,0,3,1,0,0,0.0,0.0,0.0,3,0.75,88.5,86.0,"Three Billboards Outside Ebbing, Missouri → The Banshees of Inishirin",80.3,"Seven Psychopaths → Three Billboards Outside Ebbing, Missouri → The Banshees of Inishirin",,,0.635643,1.638511,0.588701,1.62184
41,Joachim Trier,True,1.067428,250.394441,0.711348,6,136.7,13.78,22.78,2.3,1.0,1.0,1.6,2.6,0,0,3,2,1,0,0.0,0.166667,0.0,3,0.5,87.9,87.6,The Worst Person in the World  → Sentimental Value,82.4,Thelma → The Worst Person in the World  → Sentimental Value,78.3,"Oslo, August 31st → Louder Than Bombs → Thelma → The Worst Person in the World  → Sentimental Value",0.770079,1.404553,0.741883,1.498979
42,David Lynch,True,1.059682,249.900838,0.709946,10,200.8,20.25,20.08,2.02,0.9,0.9,1.5,2.4,0,2,2,5,0,1,0.1,0.0,0.0,4,0.4,90.4,89.3,The Straight Story → Mulholland Drive,84.6,Lost Highway → The Straight Story → Mulholland Drive,78.8,Twin Peaks: Fire Walk with Me → Lost Highway → The Straight Story → Mulholland Drive → Inland Empire,0.993126,1.20715,0.849057,1.238461
43,Pedro Almodovar,True,1.056483,249.696685,0.709366,23,342.7,34.55,14.9,1.5,0.833,0.87,1.222,2.092,0,1,5,9,5,3,0.130435,0.217391,0.0,6,0.26087,89.9,88.0,All About My Mother → Talk to Her,85.5,All About My Mother → Talk to Her → Bad Education,82.8,All About My Mother → Talk to Her → Bad Education → Volver → Broken Embraces,1.383224,0.82843,1.000519,0.921394
44,Luchino Visconti,True,1.049627,249.258415,0.70812,17,285.4,28.78,16.79,1.69,0.867,0.882,1.333,2.216,0,2,3,8,2,2,0.117647,0.117647,0.0,5,0.294118,93.7,88.2,White Nights → Rocco and His Brothers,83.4,Senso → White Nights → Rocco and His Brothers,80.3,Senso → White Nights → Rocco and His Brothers → Boccaccio '70 → The Leopard,1.237927,0.966612,0.901716,1.055839
45,Milos Forman,True,1.041293,248.724359,0.706603,12,213.7,21.55,17.81,1.8,0.9,0.917,1.4,2.317,0,2,1,6,2,1,0.083333,0.166667,0.0,3,0.25,93.8,87.5,Taking Off → One Flew Over the Cuckoo's Nest,83.7,The Fireman's Ball → Taking Off → One Flew Over the Cuckoo's Nest,81.4,Taking Off → One Flew Over the Cuckoo's Nest → Hair → Ragtime → Amadeus,1.033382,1.041186,0.947546,1.170477
46,Wong Kar-wai,True,1.039042,248.579872,0.706193,11,184.2,18.57,16.75,1.69,0.778,0.818,1.444,2.263,0,2,2,3,2,2,0.181818,0.181818,0.0,4,0.363636,93.0,89.7,Happy Together → In the Mood for Love,88.5,Fallen Angels → Happy Together → In the Mood for Love,87.0,Chungking Express → Fallen Angels → Happy Together → In the Mood for Love → 2046,0.939135,0.963687,1.258903,1.00827
47,Giuseppe Tornatore,True,1.034793,248.306906,0.705417,11,187.1,18.86,17.01,1.71,0.889,0.909,1.444,2.354,1,0,2,5,2,1,0.090909,0.181818,0.090909,3,0.272727,98.1,88.6,Cinema Paradiso → Everybody's Fine,85.0,Cinema Paradiso → Everybody's Fine → A Pure Formality,82.4,Cinema Paradiso → Everybody's Fine → A Pure Formality → The Star Maker → The Legend of 1900,0.948624,0.982696,1.066012,1.190146
48,Orson Welles,True,1.024029,247.613752,0.703448,16,261.5,26.37,16.34,1.65,0.8,0.813,1.333,2.146,1,1,3,7,1,3,0.1875,0.0625,0.0625,5,0.3125,94.5,89.5,Citizen Kane → The Magnificent Ambersons,85.2,Citizen Kane → The Magnificent Ambersons → The Stranger,81.7,Citizen Kane → The Magnificent Ambersons → The Stranger → The Lady from Shanghai → Macbeth,1.172946,0.933711,1.007901,0.933712
49,James Cameron,True,1.013459,246.930867,0.701508,10,170.7,17.21,17.07,1.72,0.9,0.9,1.5,2.4,0,2,2,5,0,1,0.1,0.0,0.0,4,0.4,91.8,89.8,Terminator → Aliens,85.2,Aliens → The Abyss → Terminator 2: Judgement Day,82.5,Terminator → Aliens → The Abyss → Terminator 2: Judgement Day → True Lies,0.893612,0.987083,1.003649,1.238461
50,Ryan Coogler,True,1.001106,246.130114,0.699233,5,108.8,10.97,21.76,2.19,1.0,1.0,1.75,2.75,0,0,3,1,1,0,0.0,0.2,0.0,3,0.6,84.5,83.1,Fruitvale Station → Creed,80.1,Fruitvale Station → Creed → Black Panther,76.8,Fruitvale Station → Creed → Black Panther → Black Panther: Wakanda Forever  → Sinners,0.656824,1.329978,0.588785,1.62184
51,Bob Fosse,True,0.996935,245.859055,0.698463,5,104.2,10.51,20.84,2.1,1.0,1.0,1.5,2.5,0,0,2,2,1,0,0.0,0.2,0.0,2,0.4,88.8,83.3,Lenny → All That Jazz,84.8,Cabaret → Lenny → All That Jazz,,,0.636954,1.262715,0.827023,1.417071
52,Luis Bunuel,True,0.990321,245.428589,0.69724,29,371.5,37.46,12.81,1.29,0.739,0.793,1.261,2.054,0,3,6,8,6,6,0.206897,0.206897,0.0,9,0.310345,92.6,90.0,Viridiana → The Exterminating Angel,83.8,The Young One → Viridiana → The Exterminating Angel,80.4,The Young One → Viridiana → The Exterminating Angel → Diary of a Chambermaid → Belle de Jour,1.451886,0.675626,0.903901,0.799369
53,Kenneth Lonergan,True,0.987061,245.216081,0.696637,3,69.6,7.02,23.2,2.34,1.0,1.0,2.0,3.0,0,0,2,0,1,0,0.0,0.333333,0.0,2,0.666667,88.9,76.5,Margaret → Manchester by the Sea,78.2,You Can Count on Me → Margaret → Manchester by the Sea,,,0.469247,1.43526,0.488599,1.826609
54,Phil Lord & Christopher Miller,True,0.960223,243.459258,0.691646,5,103.1,10.4,20.62,2.08,1.0,1.0,1.6,2.6,0,1,1,3,0,0,0.0,0.0,0.0,2,0.4,91.2,78.8,22 Jump Street → Project Hail Mary,80.5,The Lego Movie → 22 Jump Street → Project Hail Mary,75.6,Cloudy with a Chance of Meatballs → 21 Jump Street → The Lego Movie → 22 Jump Street → Project Hail Mary,0.632139,1.246631,0.636514,1.498979
55,Byron Howard,True,0.940284,242.145361,0.687913,5,105.0,10.59,21.0,2.12,1.0,1.0,1.5,2.5,0,0,2,2,1,0,0.0,0.2,0.0,2,0.4,86.7,84.4,Tangled → Zootopia,80.0,Tangled → Zootopia → Encanto,76.0,Bolt → Tangled → Zootopia → Encanto → Zootopia 2,0.640441,1.274413,0.584538,1.417071
56,Isao Takahata,True,0.940024,242.128195,0.687864,11,177.7,17.92,16.15,1.63,0.875,0.909,1.5,2.409,1,1,0,5,3,1,0.090909,0.272727,0.090909,2,0.181818,98.1,88.6,Grave of the Fireflies → Only Yesterday,81.7,Grave of the Fireflies → Only Yesterday → Pom Poko,76.0,3000 Leagues in Search of Mother: The Movie → Chie the Brat → Gauche the Cellist → Grave of the Fireflies → Only Yesterday,0.917594,0.91982,0.76184,1.221657
57,John Cassavetes,True,0.926802,241.252869,0.685377,12,172.8,17.42,14.4,1.45,0.9,0.917,1.3,2.217,0,1,2,6,2,1,0.083333,0.166667,0.0,3,0.25,93.0,82.7,Minnie and Moskowitz → A Woman Under the Influence,84.7,A Woman Under the Influence → The Killing of a Chinese Bookie → Opening Night,81.3,A Woman Under the Influence → The Killing of a Chinese Bookie → Opening Night → Gloria → Love Streams,0.900756,0.791874,0.963573,1.08857
58,Joseph L. Mankiewicz,True,0.925819,241.187623,0.685192,21,299.8,30.23,14.28,1.44,0.765,0.81,1.118,1.927,1,0,3,9,4,4,0.190476,0.190476,0.047619,4,0.190476,95.9,85.9,No Way Out → All About Eve,80.9,No Way Out → All About Eve → People Will Talk,79.0,A Letter to Three Wives → House of Strangers → No Way Out → All About Eve → People Will Talk,1.275716,0.7831,0.812924,0.720489
59,Todd Field,True,0.92439,241.092843,0.684923,3,72.4,7.3,24.13,2.43,1.0,1.0,1.667,2.667,0,0,2,1,0,0,0.0,0.0,0.0,2,0.666667,80.9,78.3,In the Bedroom → Little Children,79.1,In the Bedroom → Little Children → Tar,,,0.48406,1.503254,0.370349,1.553857
